customer_id,age_bucket,gender,city,purchase_history_orders,aov_value_rupees,review_sentiment,loyalty_score,uses_coupons,peak_buy_month_span,seasonal_trend,conversion_rate_bucket,online_preference_1_online_0_offline,payment_1_cod_0_upi,top3_apparel_types,major_products_bought_together,discount_clicks,return_ratio,persona
58,16-24,M,Delhi,9,2243,good,1,0,Nov-Dec,Diwali,30-50,1,1,"ethnic,belts,innerwear",,0.0,54,sports buyer
59,16-24,M,Delhi,17,1231,good,0,1,Jul-Aug,Spring,>50,1,0,"ethnic,pants,belts",ethnic and innerwear,0.0,34,ethnic desi
60,25-34,F,Delhi,17,2435,moderate,0,0,Jan-Feb,Spring,30-50,1,1,"shirts,polo,athleisure",,0.0,20,sports buyer
61,25-34,F,Mumbai,12,1713,moderate,0,0,Sep-Oct,New Year,>50,0,0,"belts,polo,shirts",shirt and pants,0.0,12,formals buyer
62,25-34,F,Delhi,7,1911,good,1,0,Nov-Dec,New Year,<10,0,0,"ethnic,athleisure,pants",,0.0,65,sports buyer
63,46-60,F,Hyderabad,3,928,moderate,0,1,Jan-Feb,Spring,30-50,1,1,"athleisure,ethnic,innerwear",athleisure and shirt,0.0,24,formals buyer
64,25-34,M,Delhi,10,3405,moderate,0,0,Jul-Aug,Winter,>50,1,1,"polo,ethnic,belts",shirt and polo,0.0,54,formals buyer
65,25-34,M,Mumbai,2,1807,moderate,1,1,May-Jun,Diwali,30-50,1,1,"ethnic,athleisure,innerwear",,0.0,10,sports buyer
66,25-34,F,Hyderabad,3,2784,moderate,0,0,Nov-Dec,Diwali,30-50,1,0,"innerwear,polo,ethnic",ethnic and innerwear,0.0,7,ethnic desi
67,16-24,M,Mumbai,16,1717,moderate,1,1,Jan-Feb,Winter,30-50,1,1,"belts,athleisure,polo",pants and belt,0.0,7,formals buyer
68,46-60,M,Mumbai,2,1810,good,0,1,Jan-Feb,Diwali,30-50,1,1,"shirts,athleisure,pants",,0.0,59,sports buyer
69,16-24,M,Mumbai,10,1270,good,0,1,Sep-Oct,Winter,>50,0,0,"belts,ethnic,pants",ethnic and innerwear,0.0,19,ethnic desi
70,60+,M,Mumbai,6,1257,good,0,1,Sep-Oct,Spring,30-50,1,1,"athleisure,polo,shirts",shirt and pants,0.0,41,formals buyer
71,35-46,M,Hyderabad,11,635,good,0,0,Nov-Dec,Spring,30-50,1,0,"ethnic,pants,innerwear",ethnic and innerwear,0.0,7,ethnic desi
72,16-24,M,Delhi,7,1291,moderate,0,1,Jan-Feb,Diwali,>50,1,1,"polo,ethnic,belts",pants and belt,0.0,12,formals buyer
73,16-24,M,Mumbai,15,670,moderate,1,1,Nov-Dec,Diwali,10-30,1,1,"polo,pants,innerwear",,0.0,15,sports buyer
74,46-60,M,Hyderabad,6,2706,good,1,0,Jan-Feb,Spring,10-30,1,0,"athleisure,shirts,innerwear",,0.0,5,sports buyer
75,35-46,F,Hyderabad,20,2748,good,0,1,Sep-Oct,Winter,10-30,0,0,"belts,innerwear,pants",pants and belt,0.0,69,formals buyer
76,35-46,M,Hyderabad,9,2080,good,1,1,Jul-Aug,Winter,30-50,1,1,"pants,innerwear,athleisure",,0.0,34,sports buyer
77,35-46,M,Mumbai,20,1461,good,1,0,Mar-Apr,Diwali,30-50,1,1,"ethnic,athleisure,pants",athleisure and shirt,0.0,8,formals buyer
78,16-24,F,Delhi,12,3130,moderate,0,0,Mar-Apr,Diwali,<10,1,1,"athleisure,pants,ethnic",,0.0,4,sports buyer
79,25-34,M,Hyderabad,19,1375,good,1,0,Jan-Feb,Diwali,>50,1,1,"ethnic,polo,pants",ethnic and innerwear,0.0,6,ethnic desi
80,16-24,F,Hyderabad,20,2918,moderate,1,0,Sep-Oct,Winter,>50,1,1,"innerwear,ethnic,belts",pants and belt,0.0,14,formals buyer
81,46-60,F,Mumbai,3,602,bad,0,0,May-Jun,Diwali,>50,1,1,"shirts,athleisure,innerwear",athleisure and shirt,0.0,24,formals buyer
82,35-46,M,Mumbai,15,1501,good,1,1,May-Jun,Diwali,>50,1,0,"athleisure,belts,ethnic",athleisure and shirt,0.0,32,formals buyer
83,25-34,M,Delhi,2,1648,good,0,0,Mar-Apr,Diwali,>50,1,0,"polo,shirts,pants",pants and belt,0.0,16,formals buyer
84,16-24,F,Hyderabad,2,3884,good,0,0,Jul-Aug,New Year,10-30,0,1,"athleisure,pants,shirts",shirt and pants,0.0,2,formals buyer
85,25-34,F,Delhi,3,3523,moderate,0,0,Mar-Apr,Winter,30-50,1,1,"innerwear,belts,ethnic",pants and belt,0.0,28,formals buyer
86,25-34,M,Delhi,6,3345,moderate,1,0,Jan-Feb,Spring,<10,1,1,"polo,pants,belts",2 or more pants,0.0,2,formals buyer
87,35-46,F,Mumbai,15,1981,good,0,1,Jul-Aug,Diwali,>50,1,0,"ethnic,belts,innerwear",pants and belt,0.0,12,formals buyer
88,35-46,M,Delhi,10,3801,moderate,0,0,May-Jun,New Year,30-50,1,0,"innerwear,ethnic,athleisure",ethnic and innerwear,0.0,4,ethnic desi
89,46-60,F,Hyderabad,9,1157,bad,0,0,Sep-Oct,New Year,<10,1,0,"ethnic,pants,shirts",,0.0,11,sports buyer
90,25-34,M,Mumbai,1,3429,good,1,0,Sep-Oct,Diwali,10-30,1,0,"pants,shirts,ethnic",,0.0,0,sports buyer
91,16-24,F,Hyderabad,16,1720,good,0,1,Jan-Feb,Diwali,30-50,1,0,"athleisure,shirts,pants",athleisure and shirt,0.0,18,formals buyer
92,35-46,F,Hyderabad,6,3280,bad,0,1,Mar-Apr,Spring,30-50,1,1,"athleisure,pants,ethnic",athleisure and shirt,0.0,4,formals buyer
93,35-46,F,Mumbai,9,922,moderate,0,1,Jan-Feb,Diwali,10-30,1,1,"shirts,pants,ethnic",shirt and pants,0.0,1,formals buyer
94,25-34,M,Delhi,4,3119,bad,0,0,Sep-Oct,Diwali,30-50,1,0,"athleisure,pants,polo",shirt and pants,0.0,35,formals buyer
95,35-46,M,Mumbai,2,670,moderate,0,1,May-Jun,New Year,>50,1,1,"athleisure,innerwear,shirts",athleisure and shirt,0.0,21,formals buyer
96,25-34,M,Hyderabad,4,3953,bad,0,1,Sep-Oct,Spring,10-30,0,0,"innerwear,belts,athleisure",athleisure and shirt,0.0,26,formals buyer
97,25-34,M,Delhi,1,2720,good,1,0,Jul-Aug,Spring,30-50,0,0,"shirts,belts,innerwear",,0.0,52,sports buyer
98,25-34,M,Delhi,19,3210,moderate,0,1,Nov-Dec,Spring,>50,1,0,"athleisure,innerwear,belts",,0.0,28,sports buyer
99,16-24,F,Hyderabad,10,952,bad,1,0,Sep-Oct,Spring,30-50,1,1,"ethnic,athleisure,pants",athleisure and shirt,0.0,14,formals buyer
100,16-24,M,Mumbai,15,2897,moderate,0,1,Sep-Oct,Spring,30-50,0,0,"innerwear,belts,ethnic",,0.0,58,sports buyer
101,16-24,M,Hyderabad,19,2475,good,1,0,Nov-Dec,Diwali,<10,1,0,"ethnic,belts,polo",ethnic and innerwear,0.0,44,ethnic desi
102,35-46,F,Delhi,16,2157,good,0,0,Jul-Aug,Winter,>50,1,0,"shirts,pants,athleisure",shirt and pants,0.0,30,formals buyer
103,25-34,F,Mumbai,4,3041,good,1,0,Mar-Apr,Diwali,<10,0,0,"innerwear,shirts,athleisure",,0.0,12,sports buyer
104,25-34,F,Delhi,2,3167,good,0,0,Sep-Oct,New Year,30-50,1,0,"shirts,belts,ethnic",ethnic and innerwear,0.0,7,ethnic desi
105,46-60,F,Hyderabad,13,3575,good,0,1,Jan-Feb,Spring,30-50,0,1,"pants,athleisure,shirts",2 or more polo,0.0,43,sports buyer
106,16-24,M,Mumbai,1,3664,moderate,1,1,Sep-Oct,New Year,>50,0,1,"polo,innerwear,ethnic",,0.0,97,sports buyer
107,25-34,M,Hyderabad,17,3466,moderate,1,1,Jan-Feb,Winter,10-30,1,1,"shirts,innerwear,polo",,0.0,24,sports buyer
108,35-46,F,Hyderabad,13,2553,good,1,0,Jul-Aug,New Year,<10,0,1,"athleisure,belts,polo",pants and belt,0.0,12,formals buyer
109,16-24,F,Mumbai,4,787,moderate,0,0,Sep-Oct,Winter,30-50,1,0,"shirts,athleisure,innerwear",shirt and pants,0.0,46,formals buyer
110,16-24,M,Hyderabad,7,2141,good,0,0,Jul-Aug,Winter,>50,1,0,"polo,belts,innerwear",pants and belt,0.0,27,formals buyer
111,25-34,F,Mumbai,17,3717,good,0,0,Jul-Aug,Winter,30-50,0,1,"innerwear,shirts,polo",2 or more shirts,0.0,37,formals buyer
112,16-24,M,Mumbai,9,1947,good,1,1,Mar-Apr,Winter,10-30,1,1,"ethnic,pants,athleisure",ethnic and innerwear,0.0,16,ethnic desi
113,46-60,M,Mumbai,4,2413,moderate,0,0,Sep-Oct,Winter,>50,0,1,"polo,belts,athleisure",shirt and pants,0.0,54,formals buyer
114,46-60,M,Hyderabad,19,1107,good,0,0,Jan-Feb,Spring,10-30,0,0,"ethnic,shirts,innerwear",,0.0,15,sports buyer
115,35-46,F,Delhi,1,956,good,0,1,Jan-Feb,New Year,30-50,0,1,"pants,polo,ethnic",shirt and pants,0.0,58,formals buyer
116,46-60,F,Mumbai,10,2264,good,0,0,Sep-Oct,Diwali,30-50,0,1,"polo,innerwear,shirts",,0.0,13,sports buyer
117,46-60,M,Delhi,4,1725,bad,1,1,Nov-Dec,Spring,30-50,1,1,"polo,pants,shirts",shirt and pants,0.0,2,formals buyer
118,16-24,F,Delhi,9,1735,good,1,0,Mar-Apr,Winter,>50,1,1,"shirts,innerwear,polo",,0.0,95,sports buyer
119,46-60,M,Mumbai,13,1529,moderate,1,0,Mar-Apr,Spring,10-30,0,0,"innerwear,pants,belts",,0.0,1,sports buyer
120,25-34,M,Hyderabad,14,3171,moderate,1,1,Mar-Apr,Winter,10-30,1,1,"polo,pants,innerwear",shirt and pants,0.0,7,formals buyer
121,46-60,F,Hyderabad,10,2923,moderate,1,0,Jan-Feb,Winter,30-50,1,1,"shirts,ethnic,polo",shirt and polo,0.0,17,formals buyer
122,46-60,F,Delhi,6,946,bad,1,1,Jul-Aug,Diwali,30-50,1,1,"innerwear,ethnic,belts",pants and belt,0.0,13,formals buyer
123,25-34,F,Hyderabad,16,1334,good,0,0,Nov-Dec,Diwali,30-50,0,1,"athleisure,shirts,belts",shirt and pants,0.0,89,formals buyer
124,16-24,F,Delhi,6,3677,good,0,0,Mar-Apr,New Year,10-30,0,0,"ethnic,polo,belts",,0.0,16,sports buyer
125,16-24,F,Hyderabad,17,1310,bad,0,1,Jan-Feb,Diwali,30-50,1,1,"innerwear,pants,shirts",2 or more shirts,0.0,2,formals buyer
126,25-34,F,Delhi,10,1924,good,0,0,Jan-Feb,Spring,30-50,1,1,"belts,polo,athleisure",athleisure and shirt,0.0,10,formals buyer
127,46-60,M,Delhi,18,3667,moderate,0,0,Jul-Aug,Winter,30-50,1,0,"polo,belts,ethnic",ethnic and innerwear,0.0,48,ethnic desi
128,46-60,M,Mumbai,18,1911,moderate,1,1,Sep-Oct,Spring,30-50,1,1,"athleisure,belts,ethnic",ethnic and innerwear,0.0,47,ethnic desi
129,16-24,M,Hyderabad,3,1458,moderate,0,1,Sep-Oct,New Year,30-50,1,0,"athleisure,innerwear,pants",,0.0,10,sports buyer
130,25-34,M,Delhi,20,1975,bad,1,0,Mar-Apr,Diwali,>50,1,1,"polo,innerwear,shirts",,0.0,15,sports buyer
131,25-34,F,Mumbai,15,3396,bad,0,0,Mar-Apr,New Year,>50,1,1,"innerwear,belts,shirts",pants and belt,0.0,15,formals buyer
132,16-24,M,Mumbai,15,1308,moderate,1,1,Nov-Dec,Spring,10-30,1,0,"belts,pants,shirts",pants and belt,0.0,12,formals buyer
133,16-24,M,Delhi,4,1478,good,0,1,Jul-Aug,New Year,>50,1,0,"athleisure,polo,pants",athleisure and shirt,0.0,9,formals buyer
134,25-34,M,Delhi,9,2963,bad,1,1,Mar-Apr,Diwali,>50,1,0,"innerwear,shirts,polo",,0.0,24,sports buyer
135,46-60,F,Delhi,19,1225,good,1,0,Jul-Aug,New Year,10-30,0,1,"belts,innerwear,polo",,0.0,5,sports buyer
136,25-34,M,Hyderabad,17,3001,good,0,1,Jan-Feb,Diwali,>50,1,1,"shirts,innerwear,polo",,0.0,0,sports buyer
137,25-34,F,Mumbai,11,3862,bad,1,1,Mar-Apr,Winter,10-30,1,1,"athleisure,pants,innerwear",athleisure and shirt,0.0,61,formals buyer
138,35-46,M,Delhi,9,1716,good,0,0,Jan-Feb,Diwali,30-50,1,0,"athleisure,polo,pants",shirt and pants,0.0,35,formals buyer
139,25-34,M,Mumbai,10,2697,good,0,0,May-Jun,Diwali,>50,1,0,"pants,innerwear,athleisure",pants and belt,0.0,58,formals buyer
140,60+,F,Hyderabad,18,2403,good,0,1,Jul-Aug,Diwali,30-50,1,1,"ethnic,shirts,athleisure",2 or more shirts,0.0,41,formals buyer
141,60+,F,Hyderabad,20,3306,bad,0,0,May-Jun,New Year,>50,1,0,"polo,pants,belts",2 or more polo,0.0,49,sports buyer
142,25-34,M,Delhi,13,1278,moderate,0,0,Mar-Apr,Spring,10-30,1,0,"belts,athleisure,shirts",2 or more shirts,0.0,40,formals buyer
143,25-34,F,Delhi,8,1472,moderate,1,1,Jan-Feb,Spring,30-50,1,1,"athleisure,ethnic,polo",shirt and polo,0.0,9,formals buyer
144,25-34,F,Mumbai,7,3310,good,0,1,Mar-Apr,New Year,>50,0,0,"polo,ethnic,pants",,0.0,14,sports buyer
145,25-34,M,Delhi,17,3549,moderate,0,0,May-Jun,Spring,>50,1,1,"ethnic,pants,belts",pants and belt,0.0,11,formals buyer
146,16-24,F,Hyderabad,15,2038,moderate,0,1,Mar-Apr,New Year,30-50,1,1,"polo,belts,pants",pants and belt,0.0,4,formals buyer
147,35-46,F,Delhi,20,1916,good,1,0,Nov-Dec,Spring,>50,0,0,"shirts,pants,ethnic",2 or more polo,0.0,58,sports buyer
148,25-34,F,Mumbai,15,3887,good,0,0,Sep-Oct,Diwali,30-50,1,1,"innerwear,polo,pants",,0.0,9,sports buyer
149,16-24,F,Delhi,1,2623,good,0,1,May-Jun,New Year,30-50,0,1,"polo,athleisure,ethnic",ethnic and innerwear,0.0,44,ethnic desi
150,25-34,F,Hyderabad,14,1098,bad,0,1,Mar-Apr,Spring,10-30,0,0,"shirts,athleisure,ethnic",2 or more shirts,0.0,59,formals buyer
151,46-60,F,Mumbai,5,3841,moderate,0,0,Jan-Feb,Winter,30-50,1,0,"belts,ethnic,polo",pants and belt,0.0,55,formals buyer
152,16-24,F,Mumbai,11,724,bad,1,0,Mar-Apr,Spring,10-30,0,0,"innerwear,polo,belts",2 or more pants,0.0,10,formals buyer
153,16-24,F,Delhi,16,2053,good,0,0,Jan-Feb,Diwali,<10,0,0,"innerwear,ethnic,pants",ethnic and innerwear,0.0,11,ethnic desi
154,25-34,F,Hyderabad,2,2660,moderate,0,0,Sep-Oct,Diwali,>50,0,1,"innerwear,pants,ethnic",ethnic and innerwear,0.0,34,ethnic desi
155,60+,F,Mumbai,8,2798,moderate,0,1,Mar-Apr,Winter,10-30,1,0,"belts,innerwear,polo",pants and belt,0.0,5,formals buyer
156,16-24,F,Mumbai,11,3804,moderate,0,0,Sep-Oct,Diwali,10-30,1,0,"belts,shirts,ethnic",shirt and pants,0.0,21,formals buyer
157,35-46,M,Mumbai,18,1340,bad,1,0,May-Jun,Diwali,30-50,0,1,"shirts,innerwear,athleisure",shirt and pants,0.0,2,formals buyer
158,35-46,F,Mumbai,3,2314,good,0,0,Jan-Feb,Diwali,<10,1,0,"shirts,athleisure,polo",,0.0,9,sports buyer
159,16-24,F,Delhi,1,1213,good,0,1,Nov-Dec,New Year,30-50,1,1,"pants,innerwear,athleisure",pants and belt,0.0,8,formals buyer
160,35-46,M,Delhi,11,1606,moderate,0,1,May-Jun,Diwali,30-50,1,1,"ethnic,pants,polo",shirt and pants,0.0,9,formals buyer
161,25-34,F,Delhi,16,624,moderate,0,0,Jan-Feb,New Year,10-30,1,0,"athleisure,polo,ethnic",ethnic and innerwear,0.0,94,ethnic desi
162,35-46,M,Delhi,18,3746,moderate,1,0,Sep-Oct,New Year,30-50,1,0,"belts,innerwear,athleisure",athleisure and shirt,0.0,46,formals buyer
163,35-46,M,Mumbai,16,1592,good,0,1,Jul-Aug,Winter,30-50,0,1,"shirts,belts,innerwear",,0.0,46,sports buyer
164,25-34,F,Hyderabad,10,3618,moderate,1,1,Mar-Apr,Diwali,>50,0,1,"athleisure,shirts,belts",,0.0,8,sports buyer
165,16-24,M,Delhi,18,3431,good,0,0,Sep-Oct,New Year,10-30,1,0,"innerwear,athleisure,belts",,0.0,25,sports buyer
166,46-60,F,Hyderabad,6,1779,good,0,0,Jan-Feb,Spring,10-30,0,1,"athleisure,pants,innerwear",pants and belt,0.0,6,formals buyer
167,25-34,F,Delhi,19,2250,moderate,0,1,Jan-Feb,Spring,30-50,0,1,"polo,pants,innerwear",,0.0,1,sports buyer
168,16-24,M,Mumbai,4,529,moderate,0,1,Jan-Feb,New Year,<10,1,0,"shirts,belts,polo",shirt and polo,0.0,57,formals buyer
169,16-24,M,Delhi,13,2828,good,0,1,Jan-Feb,Winter,30-50,1,0,"innerwear,ethnic,pants",,0.0,39,sports buyer
170,25-34,M,Mumbai,14,3471,good,0,0,Mar-Apr,Diwali,>50,0,0,"athleisure,belts,ethnic",ethnic and innerwear,0.0,44,ethnic desi
171,35-46,F,Delhi,3,2517,good,0,0,May-Jun,Winter,10-30,1,0,"ethnic,belts,shirts",ethnic and innerwear,0.0,99,ethnic desi
172,16-24,F,Mumbai,10,3808,good,1,0,Nov-Dec,New Year,10-30,0,0,"innerwear,belts,polo",,0.0,9,sports buyer
173,25-34,F,Mumbai,6,3819,moderate,1,0,Jul-Aug,Diwali,>50,0,0,"pants,innerwear,belts",pants and belt,0.0,0,formals buyer
174,16-24,M,Hyderabad,1,2915,bad,1,1,Mar-Apr,Winter,>50,1,1,"polo,athleisure,innerwear",,0.0,0,sports buyer
175,35-46,F,Mumbai,14,994,good,0,0,Jan-Feb,Spring,10-30,1,0,"polo,ethnic,athleisure",shirt and polo,0.0,14,formals buyer
176,16-24,M,Hyderabad,8,3596,moderate,1,0,Mar-Apr,Diwali,<10,1,1,"ethnic,pants,polo",2 or more pants,0.0,42,formals buyer
177,35-46,F,Mumbai,19,2109,bad,0,1,Sep-Oct,Diwali,10-30,1,1,"ethnic,belts,pants",2 or more polo,0.0,16,sports buyer
178,25-34,M,Delhi,14,1217,bad,0,1,Nov-Dec,Diwali,30-50,1,1,"shirts,polo,pants",,0.0,6,sports buyer
179,46-60,F,Delhi,10,1516,good,0,0,Jan-Feb,Spring,<10,0,0,"innerwear,athleisure,polo",shirt and polo,0.0,32,formals buyer
